name,relation,position,company
Dato Siew Ka Wei,IS_DIRECTOR_OF,Executive Chairman,Ancom Berhad
Tan Sri Dato Dr Lin See Yan,IS_DIRECTOR_OF,Independent Non-Executive Director,Ancom Berhad
Tan Sri Dato Seri Abdull Hamid Bin Embong,IS_DIRECTOR_OF,Independent Non-Executive Director,Ancom Berhad
Chan Thye Seng,IS_DIRECTOR_OF,Non-Independent Non-Executive Director,Ancom Berhad
Edmond Cheah Swee Leng,IS_DIRECTOR_OF,Independent Non-Executive Director,Ancom Berhad
Lim Hock Chye,IS_DIRECTOR_OF,Independent Non-Executive Director,Ancom Berhad
Datuk Dr Abd Hapiz Bin Abdullah ,IS_DIRECTOR_OF,Independent Non-Executive Director,Ancom Berhad
Siew Ka Kheong,IS_DIRECTOR_OF,Alternate Director to Dato Siew Ka Wei ,Ancom Berhad
Lee Cheun Wei ,IS_DIRECTOR_OF,Managing Director,Ancom Crop Care Sdn. Bhd.
Robin Ling Seng Chiong,IS_DIRECTOR_OF,Executive Director,Perusahaan Kimia Gemilang Sdn Bhd
Phillip Karuppiah,IS_DIRECTOR_OF,Group Human Resource Director,Ancom Berhad
Dato Lee Yew Meng,IS_DIRECTOR_OF,CEO/Executive Director,Genovasi Malaysia Sdn. Bhd.
Kong Hwai Ming,IS_DIRECTOR_OF,Executive Director,CKG Chemicals Pte Ltd
Wong Siut Yin,IS_DIRECTOR_OF,Director,Kumpulan Kesuma Sdn. Bhd.
Datuk Anuar Bin Ahmad,IS_DIRECTOR_OF,Independent Non-Executive Chairman,Nylex (Malaysia) Berhad
Dato Siew Ka Wei,IS_DIRECTOR_OF,Group Managing Director,Nylex (Malaysia) Berhad
Edmond Cheah Swee Leng,IS_DIRECTOR_OF,Independent Non-Executive Director,Nylex (Malaysia) Berhad
Khamis Bin Awal,IS_DIRECTOR_OF,Independent Non-Executive Director,Nylex (Malaysia) Berhad
Tan Sri Dato Dr Lin See Yan,IS_DIRECTOR_OF,Independent Non-Executive Director,Nylex (Malaysia) Berhad
Dato Abdul Latif Bin Abdullah,IS_DIRECTOR_OF,Independent Non-Executive Chairman,Ancom Logistics Berhad
Dato Siew Ka Wei,IS_DIRECTOR_OF,Executive Vice Chairman,Ancom Logistics Berhad
Tan Sri Datuk Dr. Ampikaipakan A/L S. Kandiah,IS_DIRECTOR_OF,Independent Non-Executive Director,Ancom Logistics Berhad
Abdul Latif Bin Mahamud,IS_DIRECTOR_OF,Non-Independent Non-Executive Director,Ancom Logistics Berhad
Safrizal Bin Mohd Said,IS_DIRECTOR_OF,Independent Non-Executive Director,Ancom Logistics Berhad
Lim Hock Chye,IS_DIRECTOR_OF,Independent Non-Executive Director,Ancom Logistics Berhad
