name,relation,position,company
Dato Siew Ka Wei,IS_OFFICER_OF,Executive Chairman,Ancom Berhad
Lee Cheun Wei ,IS_OFFICER_OF,Group CEO,Ancom Berhad
Datuk Wong Sai Wan,IS_OFFICER_OF,Group Chief Media Officer,Ancom Berhad
Robin Ling Seng Chiong,IS_OFFICER_OF,Deputy CEO,Nylex (Malaysia) Berhad
Tho Tuck Woh,IS_OFFICER_OF,CEO,Redberry Media Group
Datuk Hasnul Bin Hassan,IS_OFFICER_OF,Deputy CEO,Ancom Logistics Berhad
Lim Chang Meng,IS_OFFICER_OF,Group Chief Financial Officer,Ancom Berhad
Choo Se Eng,IS_OFFICER_OF,Company Secretary,Ancom Berhad
Michelle Chen Tai Ngoh,IS_OFFICER_OF,Chief Financial Officer,Nylex
Siew Ka Kheong,IS_OFFICER_OF,Executive Chairman,IEnterprise Online Sdn. Bhd.
William Tan Wee Lian,IS_OFFICER_OF,Divisional Head,Nylex Polymer Division
Datuk Abdul Rashid Hashim,IS_OFFICER_OF,Executive Chairman,Ancom Kimia Sdn. Bhd.
Mohd Yusof Bin Muhamad Don ,IS_OFFICER_OF,General Manager,Pengangkutan Cogent Sdn. Bhd.
Serena Khoo Sook Lai,IS_OFFICER_OF,General Manager,Ancom-Chemquest Terminals Sdn.
Dato Siew Ka Wei,IS_OFFICER_OF,Executive Vice Chairman,Ancom Logistics Berhad
Datuk Hasnul Hassan,IS_OFFICER_OF,Deputy CEO,Ancom Logistics Berhad
Lim Chang Meng,IS_OFFICER_OF,Chief Financial Officer,Ancom Logistics Berhad
Choo Se Eng,IS_OFFICER_OF,Company Secretary,Ancom Logistics Berhad
Mohd Yusof Bin Muhamad Don,IS_OFFICER_OF,General Manager,Pengangkutan Cogent Sdn. Bhd.
Serena Khoo Sook Lai,IS_OFFICER_OF,General Manager,Ancom-Chemquest Terminals Sdn. Bhd.
