name,relation,position,company
Dato Mohamed Ilyas Bin Pakeer Mohamed,IS_OFFICER_OF,Chairman,Serba Dinamik Holdings Berhad
Dato Dr Ir Ts Mohd Abdul Karim Bin Abdullah,IS_OFFICER_OF,Chief Executive Officer,Serba Dinamik Holdings Berhad
Azhan Azmi,IS_OFFICER_OF,Group Chief Financial Officer,Serba Dinamik Holdings Berhad
En Afandi Bin Abd Hamid,IS_OFFICER_OF,"Vice President, O&M Business Unit",Serba Dinamik Holdings Berhad
Ir Abdul Halim Bin Mohd Damiah,IS_OFFICER_OF,"Vice President, EPCC Business Unit",Serba Dinamik Holdings Berhad
Azhar Majid Qureshi,IS_OFFICER_OF,"Vice President, System Integrator Business Unit",Serba Dinamik Holdings Berhad
Dr Ts Zulkarnain Kedah,IS_OFFICER_OF,"Vice President, Education and Training",Serba Dinamik Holdings Berhad
Kalaikovan Antony,IS_OFFICER_OF,"Chief Technology Officer, IT Solutions",Serba Dinamik Holdings Berhad
Syaiful Radzman Osman,IS_OFFICER_OF,"Vice President, Human Capital & General Affairs Division",Serba Dinamik Holdings Berhad
Yusni Mohamed Yusop,IS_OFFICER_OF,"Vice President, Corporate Communications",Serba Dinamik Holdings Berhad
